nazwa_ogloszenia,link,cena,opis,lokalizacja,pokoje,stan wykonczenia,miejsce parkingowe,powierzchnia,balkon,taras,piętro,rok budowy
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-64m2-mzn2041581854,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta
✅ Lokalizacja łącząca charakter zabytkowego centrum z bliskością Odry
✅ System „inteligentny dom” w mieszkaniach

Apartamenty nad Rzeką w skrócie
Inwestycja Apartamenty nad Rzeką to jeden budynek mieszkalny liczący 6 pięter, w którym znalazły się 144 mieszkania o powierzchniach od 30 do 131 m kw. W zależności od piętra, lokale mają od 262 do 322 cm wysokości, a do dyspozycji mieszkańców oddane zostaną także miejsca postojowe podziemne i naziemne.
Apartamenty nad Rzeką – lokalizacja
Głównym atutem inwestycji jest jedna z najlepszych wrocławskich lokalizacji, w samym sercu Wrocławia, blisko centrum zabytkowego, a zarazem tuż nad Odrą. Szybko można stąd dostać się do centrów biznesowych i kulturalnych Wrocławia, wybrać się do jednej z tutejszych klimatycznych restauracji, galerii sztuki, kina czy teatru. Kilka kroków od inwestycji znajdują się najpiękniejsze miejsca Wrocławia, jak Rynek, Stare Miasto, Ostrów Tumski czy bulwary nad Odrą.
Tereny zielone
Na drugim brzegu Odry, naprzeciwko Apartamentów nad Rzeką, w odległości 1,3 km znajduje się Park Mieszczański, a o 2 km oddalony jest Park im. Stanisława Staszica. Mieszkańcy inwestycji z pewnością będą także korzystać z uroków bulwarów nad Odrą rozciągających się dosłownie pod ich oknami.
Sklepy, punkty usługowe i gastronomiczne
O 240 metrów od inwestycji oddalony jest sklep sieci Kaufland, o 500 metrów sklep spożywczy Fortuna, a o 700 metrów – sklep Przystanek. Najbliższa Biedronka znajduje się w odległości 900 metrów, a Lidl – 1,7 km. Tuż przy inwestycji mieści się Bistro no 5. oraz restauracja Gastrom. Bliskość Starego Miasta i Rynku we Wrocławiu powodują, że można również wybrać się do jednej ze znajdujących się tam licznych restauracji czy kawiarni.
Komunikacja i transport publiczny
Najbliższy przystanek autobusowy – Długa – z którego odjeżdżają linie 128 i C oddalony jest o 300 metrów od inwestycji. W odległości 750 metrów mieści się stacja kolei regionalnych – Wrocław Szczepin.
Edukacja
W promieniu niespełna 2 km od inwestycji znajdują się trzy przedszkola. O 1,1 km oddalone są dwie szkoły podstawowe: prywatna i Zespół Szkół nr 18. Do najbliższego Liceum Ogólnokształcącego nr III im. Adama Mickiewicza jest 1,6 km, a do budynków Uniwersytetu Wrocławskiego – 1,9 km.
Rezerwacja i płatność
Wszystkie informacje dotyczące rezerwacji i płatności znajdą Państwo u dewelopera, polecamy kontakt przez formularz.","Stare Miasto,",3,,,"64,69 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161230,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",2,,,"50,20 m²",Tak,,,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161220,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm
W skrócie

Osiedle Zielna powstające w dzielnicy Psie Pole to kameralna inwestycja składającą się z jednego dwupiętrowego budynku wielorodzinnego, w którym znajdzie się łącznie 160 mieszkań. Mieszkańcy lokali na parterze będą mieli do swojej dyspozycji ogródki, natomiast lokatorzy 1 i 2 piętra – przestronne balkony. Na kameralnym osiedlu nie zabraknie atrakcyjnie zaaranżowanej przestrzeni wspólnej, w postaci małej architektury, nasadzeń kwiatowych, drzew i krzewów. Częścią inwestycji będzie duży zielony, wewnętrzny dziedziniec, gdzie mieścić się będzie plac zabaw oraz siłownia plenerowa. W ramach inwestycji przewidziano również podziemny garaż, komórki lokatorskie, schowki oraz rowerownię.

Lokalizacja

Osiedle Zielna powstaje na Psim Polu, przy ulicy Zielnej, która położona jest 6,7 km od centrum Wrocławia. Rozciągająca się w północnej części Wrocławia dzielnica Psie Pole zabudowana jest w dużej mierze przez osiedla domków jednorodzinnych i willi, a także trzy duże osiedla: Zakrzów, Psie Pole oraz Różanka. Na obrzeżach dzielnicy dominują tereny zielone, m.in. las Rędziński, Osobowicki i Sołtywicki. Największą arterią dzielnicy Psie Pole, łączącą zachodnią jej część ze wschodnią, jest ulica Jana Kasprowicza.

Tereny zielone

W odległości 260 metrów od inwestycji znajduje się park międzyosiedlowy z placem zabaw dla dzieci. Do parku przy ulicy Nadbrzeżnej w Zgorzelisku oddalonego o 1 km można dotrzeć spacerem w 13 minut. W odległości 2,8 km znajduje się park Małe Wilczyce, 2,7 km od osiedla – Park Jedności, a 6 km dzieli Osiedle Zielna od dzikich terenów spacerowych przy ujściu rzeki Dobrej do Widawy.

Sklepy, punkty usługowe i gastronomiczne

Najbliższy niewielki sklep spożywczy znajduje się tuż przy Osiedlu Zielna. W odległości 110 metrów położone są Delikatesy Gorlickie, w odległości 240 metrów – sklep max minimarket. Mieszkańcy Osiedla Zielna mają również blisko położoną przychodnię – 100 metrów od osiedla, przychodnię weterynaryjną – 100 m, restaurację z azjatycką kuchnią fusion (450 m), pub (550 m) czy halę targową Blaszak (500 m).

Komunikacja i transport publiczny

Najbliższy przystanek komunikacji miejskiej – Gorlicka – znajduje się 210 metrów od Osiedla Zielna. Dzięki niemu mieszkańcy osiedla mogą korzystać z dogodnych połączeń komunikacyjnych w dzielnicy Psie Pole – 6 linii autobusowych oraz 2 tramwajowych. We wschodniej części dzielnicy zlokalizowana jest stacja kolejowa, która również ułatwia dotarcie w inne części Wrocławia.

Edukacja

W bezpośrednim sąsiedztwie Osiedla Zielna znajdują się 3 placówki edukacyjne: publiczne przedszkole Columbus oddalone o 70 metrów, przedszkole nr 71 – oddalone o 520 metrów oraz Szkoła Podstawowa nr 6 zlokalizowana w odległości 230 metrów.

Rezerwacja i płatność

Po szczegóły zapraszamy do kontaktu przez formularz znajdujący się na dole strony.","Psie Pole,",2,,,"50,20 m²",Tak,,,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-38m2-mzn2043178357,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",2,,,"38,48 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-38m2-mzn2042224104,,"Najważniejsze atuty
✅ Przyjazna okolica","Tarnogaj,",2,,,"38,86 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-71m2-mzn2043185928,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.","Krzyki,",4,,,"71,41 m²",Tak,,,2025
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-76m2-mzn2041581862,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",3,,,"76,52 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161245,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",2,,,"50,06 m²",Tak,,,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-59m2-mzn2042224170,,"Najważniejsze atuty
✅ Przyjazna okolica","Tarnogaj,",3,,,"59,53 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-36m2-mzn2042572793,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",2,,,"36,03 m²",Tak,,,2024
